# Source: Table II of Supporting Information from https://doi.org/10.1021/jp0615398
# Name	q00	q10	q11
MG	0.7000000000	-0.0422170000	0.6830000000
CHA	-0.2860000000	0.1414780000	-0.3130000000
CHB	0.3160000000	-0.0149880000	0.2950000000
CHC	0.3100000000	-0.0454270000	0.2570000000
CHD	0.2870000000	0.0410710000	0.2570000000
NA	-0.4110000000	0.0654890000	-0.4390000000
C1A	0.3930000000	-0.1347760000	0.4130000000
C2A	0.0060000000	0.0194190000	0.0150000000
C3A	0.1910000000	0.0027230000	0.1940000000
C4A	-0.2240000000	0.0170430000	-0.1930000000
CMA	-0.0170000000	0.0116560000	-0.0130000000
CAA	-0.0090000000	-0.0159070000	-0.0050000000
CBA	-0.0230000000	0.0094510000	-0.0240000000
CGA	0.6240000000	-0.0050630000	0.6270000000
O1A	-0.4760000000	0.0054210000	-0.4770000000
O2A	-0.4320000000	-0.0036560000	-0.4330000000
NB	0.1390000000	-0.0282160000	0.1250000000
C1B	-0.4860000000	0.0876630000	-0.4630000000
C2B	0.1200000000	-0.0009050000	0.0930000000
C3B	0.0890000000	0.0674470000	0.0620000000
C4B	-0.4630000000	0.0336800000	-0.3930000000
CMB	0.0680000000	0.0327450000	0.0670000000
CAB	0.2970000000	-0.0250910000	0.2740000000
OBB	-0.4000000000	0.0372080000	-0.4130000000
CBB	0.0340000000	0.0190370000	0.0340000000
NC	-0.1630000000	0.0168550000	-0.2020000000
C1C	-0.1870000000	0.0809840000	-0.1460000000
C2C	0.1390000000	-0.0191960000	0.1440000000
C3C	0.1230000000	0.0280470000	0.1260000000
C4C	-0.2270000000	-0.1165500000	-0.1670000000
CMC	0.0010000000	0.0077870000	0.0040000000
CAC	0.0380000000	0.0008630000	0.0420000000
CBC	-0.0170000000	-0.0096400000	-0.0160000000
ND	-0.0970000000	0.1350260000	-0.1090000000
C1D	-0.4060000000	-0.1115140000	-0.3530000000
C2D	0.2280000000	-0.0224000000	0.2100000000
C3D	-0.3010000000	0.0368780000	-0.2970000000
C4D	0.0850000000	-0.2007200000	0.1320000000
CMD	0.0740000000	-0.0313930000	0.0760000000
CAD	0.4170000000	-0.0358960000	0.3900000000
OBD	-0.4330000000	-0.0209220000	-0.4420000000
CBD	0.1900000000	-0.0023460000	0.1920000000
CGD	0.3550000000	-0.0020230000	0.3570000000
O1D	-0.3990000000	-0.0088850000	-0.4010000000
O2D	-0.3280000000	0.0070860000	-0.3310000000
CED	0.2850000000	-0.0078680000	0.2850000000
C1	0.2760000000	0.0005430000	0.2760000000
