# Source: Table I of Supporting Information from https://doi.org/10.1021/jp0615398
# Name	q00	q10	q11
MG	0.7960000000	-0.0216740000	0.7890000000
CHA	-0.3660000000	0.1067790000	-0.3590000000
CHB	0.0460000000	-0.0486960000	0.0550000000
CHC	0.3540000000	-0.0987250000	0.2920000000
CHD	0.2590000000	0.0727260000	0.1790000000
NA	-0.2450000000	0.0316830000	-0.2560000000
C1A	0.1060000000	-0.1308200000	0.1360000000
C2A	0.1860000000	0.0100480000	0.1880000000
C3A	0.2450000000	0.0023890000	0.2440000000
C4A	-0.2070000000	0.0779830000	-0.1950000000
CMA	-0.0230000000	0.0055560000	-0.0220000000
CAA	-0.0360000000	-0.0010500000	-0.0330000000
CBA	-0.0800000000	0.0007350000	-0.0780000000
CGA	0.6730000000	-0.0080400000	0.6710000000
O1A	-0.5220000000	-0.0013300000	-0.5210000000
O2A	-0.3740000000	0.0070910000	-0.3730000000
NB	-0.2810000000	-0.0622970000	-0.2770000000
C1B	-0.0380000000	0.0811220000	-0.0410000000
C2B	0.1780000000	0.0047770000	0.1390000000
C3B	-0.5190000000	-0.0092040000	-0.5410000000
C4B	0.0960000000	0.1062710000	0.1320000000
CMB	0.0980000000	0.0169630000	0.0980000000
CAB	0.1100000000	0.0106810000	0.1170000000
CBB	0.0320000000	0.0349470000	0.0180000000
NC	-0.2140000000	-0.0121660000	-0.2600000000
C1C	-0.4570000000	0.0836460000	-0.3910000000
C2C	0.2460000000	-0.0074200000	0.2500000000
C3C	-0.3180000000	-0.0011260000	-0.3310000000
C4C	0.0980000000	-0.0440080000	0.1980000000
CMC	0.0610000000	-0.0051610000	0.0640000000
CAC	0.1140000000	0.0080200000	0.1140000000
CBC	0.0070000000	0.0010120000	0.0080000000
ND	-0.3480000000	0.1082920000	-0.3530000000
C1D	-0.3900000000	-0.1108120000	-0.3330000000
C2D	0.3180000000	-0.0119810000	0.2870000000
C3D	-0.5000000000	0.0087990000	-0.5040000000
C4D	0.4200000000	-0.1250440000	0.4490000000
CMD	0.0690000000	-0.0251560000	0.0680000000
CAD	0.5430000000	-0.0192500000	0.5170000000
OBD	-0.4600000000	-0.0200440000	-0.4680000000
CBD	0.1330000000	-0.0112380000	0.1320000000
CGD	0.4240000000	0.0059790000	0.4270000000
O1D	-0.4280000000	-0.0053880000	-0.4290000000
O2D	-0.3430000000	0.0018110000	-0.3440000000
CED	0.2790000000	-0.0052560000	0.2790000000
C1	0.2580000000	-0.0014240000	0.2580000000
