# Source: first table in SI from https://doi.org/10.1529/biophysj.107.123935
# NB: q00 and q11 charges are just placeholders! These are not included in the publication.
# Name	q00	q10	q11
CHA	0.0000000000	0.0765340000	0.0000000000
CHB	0.0000000000	-0.0388000000	0.0000000000
CHC	0.0000000000	-0.0894580000	0.0000000000
CHD	0.0000000000	0.0628440000	0.0000000000
N1A	0.0000000000	0.0472900000	0.0000000000
C1A	0.0000000000	-0.0862460000	0.0000000000
C2A	0.0000000000	0.0075600000	0.0000000000
C3A	0.0000000000	-0.0019650000	0.0000000000
C4A	0.0000000000	0.0702150000	0.0000000000
CMA	0.0000000000	0.0041150000	0.0000000000
CAA	0.0000000000	-0.0027530000	0.0000000000
CBA	0.0000000000	0.0016510000	0.0000000000
CGA	0.0000000000	-0.0038300000	0.0000000000
O1A	0.0000000000	-0.0015850000	0.0000000000
O2A	0.0000000000	0.0029470000	0.0000000000
N1B	0.0000000000	-0.0628010000	0.0000000000
C1B	0.0000000000	0.0661900000	0.0000000000
C2B	0.0000000000	0.0088640000	0.0000000000
C3B	0.0000000000	-0.0092690000	0.0000000000
C4B	0.0000000000	0.0902830000	0.0000000000
CMB	0.0000000000	0.0150780000	0.0000000000
CAB	0.0000000000	0.0095560000	0.0000000000
CBB	0.0000000000	0.0283990000	0.0000000000
N1C	0.0000000000	-0.0254390000	0.0000000000
C1C	0.0000000000	0.0736390000	0.0000000000
C2C	0.0000000000	0.0093810000	0.0000000000
C3C	0.0000000000	-0.0204450000	0.0000000000
C4C	0.0000000000	-0.0248270000	0.0000000000
CMC	0.0000000000	-0.0038330000	0.0000000000
CAC	0.0000000000	0.0067850000	0.0000000000
CBC	0.0000000000	-0.0000610000	0.0000000000
N1D	0.0000000000	0.0870710000	0.0000000000
C1D	0.0000000000	-0.0872460000	0.0000000000
C2D	0.0000000000	-0.0088120000	0.0000000000
C3D	0.0000000000	0.0025580000	0.0000000000
C4D	0.0000000000	-0.0949190000	0.0000000000
CMD	0.0000000000	-0.0199250000	0.0000000000
CAD	0.0000000000	-0.0160350000	0.0000000000
OBD	0.0000000000	-0.0186300000	0.0000000000
CBD	0.0000000000	-0.0088440000	0.0000000000
CGD	0.0000000000	0.0043510000	0.0000000000
O1D	0.0000000000	-0.0040240000	0.0000000000
O2D	0.0000000000	0.0022240000	0.0000000000
CED	0.0000000000	-0.0052260000	0.0000000000
