  -0.015512       1.081048       1.078503    	  MG  
   0.075628      -0.939214      -0.876827    	  CHA 
  -0.057844       0.030807       0.063921    	  CHB 
  -0.107433      -0.061393      -0.103747    	  CHC 
   0.086081       0.186831       0.106460    	  CHD 
   0.011574      -0.648412      -0.631951    	  N A 
  -0.099670       0.521352       0.532720    	  C1A 
   0.007454       0.038470       0.048143    	  C2A 
   0.007749      -0.059249      -0.066575    	  C3A 
   0.077389       0.223683       0.224172    	  C4A 
   0.003351       0.020236       0.021308    	  CMA 
  -0.002720       0.225052       0.224150    	  CAA 
  -0.005754      -0.169736      -0.168118    	  CBA 
   0.004859       0.227373       0.225439    	  CGA 
   0.000650      -0.178066      -0.177174    	  O1A 
  -0.003916       0.067522       0.067698    	  O2A 
  -0.073990      -0.533486      -0.524891    	  N B 
   0.085402      -0.171065      -0.190573    	  C1B 
  -0.002140       0.376528       0.344731    	  C2B 
  -0.005618      -0.745253      -0.765037    	  C3B 
   0.108571       0.612799       0.631869    	  C4B 
   0.014838       0.061950       0.061929    	  CMB 
   0.001978       0.182436       0.188168    	  CAB 
   0.024357       0.045174       0.035426    	  CBB 
  -0.021650      -0.452378      -0.491029    	  N C 
   0.079538      -0.119797      -0.057983    	  C1C 
   0.005163       0.293422       0.268775    	  C2C 
  -0.005803      -0.410867      -0.421453    	  C3C 
  -0.031957       0.213266       0.301925    	  C4C 
  -0.013413       0.269406       0.260072    	  CMC 
  -0.001389      -0.384922      -0.392055    	  OMC 
   0.006975       0.169447       0.168127    	  CAC 
   0.002317      -0.000445      -0.000001    	  CBC 
   0.090881      -0.704017      -0.691432    	  N D 
  -0.088170      -0.218117      -0.165566    	  C1D 
  -0.013166       0.318944       0.284421    	  C2D 
   0.015953      -0.839154      -0.845612    	  C3D 
  -0.098277       1.085480       1.084707    	  C4D 
  -0.016435       0.079348       0.076408    	  CMD 
  -0.028234       0.784157       0.761321    	  CAD 
  -0.014273      -0.461490      -0.469246    	  OBD 
  -0.000035       0.066384       0.063563    	  CBD 
   0.007743       0.529641       0.526872    	  CGD 
  -0.007166      -0.413491      -0.412774    	  O1D 
   0.000641      -0.545459      -0.543994    	  O2D 
  -0.004526       0.345255       0.345207    	  CED 
